;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
;;;222;Comunicaciones;;55,81;
;;;22200; Servicios de telecomunicaciones;50,81;;
;;;22201; Postales y mensajería;5,00;;
;;;223;Transportes;;9,61;
;;;224;Primas de seguros;;7,89;
;;;225;Tributos;;21,55;
;;;22500; Estatales;11,66;;
;;;22501; Autonómicos;0,26;;
v;;;22502; Locales;9,63;;
;;;226;Gastos diversos;;20,31;
v;;;22601; Atenciones protocolarias y representativas;2,25;;
;;;22602; Publicidad y propaganda;14,42;;
;;;22606; Reuniones, conferencias y cursos;3,64;;
;;;227;Trabajos realizados por otras empresas y profesionales;;947,12;
;;;22700; Limpieza y aseo;265,99;;
;;;22701; Seguridad;673,83;;
;;;22799; Otros;7,30;;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;2.307,05;
 ; ;;;;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;48;A familias e instituciones sin fines de lucro;;618,59;
v;;;480;Cuotas y contribuciones a Organismos e Instituciones Nacionales;;3,62;
v;;;482;Subvención a la Real Sociedad Geográfica;;20,00;
v;;;483;Subvención al Observatorio del Ebro;;10,00;
v;;;484;Becas y ayudas en áreas de astronomía, geofísica, geodesia, teledetección y documentación geográfica;;584,97;
v;;;49;Al exterior;;1.395,81;
v;;;491;Cuotas a Organismos Internacionales;;1.395,81;
;;;49100; Instituto de Radioastronomía Milimétrica para la Investigación y Desarrollo en Instrumentación y Astrofísica. (IRAM);1.100,00;;
;;;49101; Unión Internacional de Geodesia y Geofísica;16,79;;
;;;49102; Unión Astronómica Internacional;20,70;;
;;;49103; Centro Sismológico Europeo-Mediterráneo;1,23;;
;;;49104; Unión Geográfica Internacional;3,60;;
;;;49105; Joint Institute for VLBI in Europe. (JIVE);161,00;;
;;;49106; Investigación de Datos Espaciales Europeos. (EURO SDR);6,69;;
;;;49107; Asociación Cartográfica Internacional;0,82;;
;;;49108; Open Geospatial Consortium;6,69;;
;;;49109; Eurogeographics;37,09;;
;;;49110; Comité de Frecuencias de Radioastronomía (CRAF);25,75;;
;;;49111; Internacional Seismological Centre (ISC);15,45;;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;2.014,40;
 ; ;;;;;;
v;;;6;INVERSIONES REALES;;;
;;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;9.997,09;
;;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;8.497,09;
;;;621;Red de vigilancia de gases tóxicos en La Palma (Puerto Naos y La Bombilla);;1.500,00;
;;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;1.071,85;
;;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;1.071,85;
;;;;TOTAL INVERSIONES REALES;;11.068,94;
 ; ;;;;;;
v;;;7;TRANSFERENCIAS DE CAPITAL;;;
v;;;75;A Comunidades Autónomas;;350,00;
v;;;752;Apoyo al funcionamiento del Sistema Cartográfico Nacional (S.C.N.);;350,00;
;;;;TOTAL TRANSFERENCIAS DE CAPITAL;;350,00;
 ; ;;;;;;
;;;;TOTAL Desarrollo y aplicación de la información geográfica española;;32.630,42;
 ; ;;;;;;
v;;000X;;Transferencias y libramientos internos;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;41;A Organismos Autónomos;;2.040,21;
v;;;412;Centro Nacional de Información Geográfica (CNIG);;2.040,21;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;2.040,21;
 ; ;;;;;;
v;;;7;TRANSFERENCIAS DE CAPITAL;;;
v;;;71;A Organismos Autónomos;;2.520,00;
v;;;712;Centro Nacional de Información Geográfica (CNIG);;2.520,00;
;;;;TOTAL TRANSFERENCIAS DE CAPITAL;;2.520,00;
 ; ;;;;;;
;;;;TOTAL Transferencias y libramientos internos;;4.560,21;
 ; ;;;;;;
;;;;TOTAL DIRECCIÓN GENERAL DEL INSTITUTO GEOGRÁFICO NACIONAL;;37.190,63;
 ; ;;;;;;
 ; ;;;;;;
v;20;;;SECRETARÍA DE ESTADO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;;;
v;;441M;;Subvenciones y apoyo al transporte terrestre;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;800,00;
v;;;443;Transferencias corrientes para compensar a la Sociedad de Infraestructuras del Transporte Terrestre (SEITTSA) por modificación de tarifas, según convenio;;800,00;
v;;;45;A Comunidades Autónomas;;350,00;
v;;;457;Subvenciones a Comunidades Autónomas;;350,00;
v;;;45700; Subvención directa a la Xunta de Galicia por la gratuidad de la conexión de la AG-55 con el Acceso al Puerto Exterior de A Coruña;350,00;;
v;;;47;A empresas privadas;;96.966,04;
v;;;470;Para compensar a sociedades concesionarias de autopistas según normativa;;88.966,04;
v;;;47000; Autopista Vasco-Aragonesa, Concesionaria Española S.A., por la exención del peaje de los movimientos con origen y destino en enlaces de La Rioja de la autopista Bilbao-Zaragoza (R.D. 2027/2009, de 23 de diciembre);5.300,00;;
v;;;47001; Autopista Vasco-Aragonesa, Concesionaria Española, S.A., por bonificaciones en el peaje de los recorridos entre Zaragoza y Gallur (R.D. 1574/2009, de 9 de octubre y R.D. 920/2013, de 22 de noviembre);1.057,54;;
v;;;47003; Autopista Vasco-Aragonesa, Concesionaria Española, S.A., por las reducciones de peaje en la autopista AP-68 a su paso por La Rioja (R.D.584/2014, de 4 de julio);1.386,65;;
v;;;47020; Autopista Concesionaria Astur Leonesa, S.A., por las bonificaciones de peaje a vehículos ligeros en la autopista AP-66 León-Campomanes;6.272,70;;
